Pavarde             Vardas              ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   Egz. 
Pavarde49           Vardas49            9      9      1      8      9      6      1      3      10     7      4      5      
Pavarde50           Vardas50            7      1      2      6      1      9      5      3      10     4      4      3      
Pavarde51           Vardas51            4      10     4      2      7      8      3      6      8      3      4      8      
Pavarde52           Vardas52            6      7      5      2      2      9      8      3      1      5      2      2      
Pavarde53           Vardas53            2      1      3      1      9      1      4      2      3      3      2      8      
Pavarde54           Vardas54            10     4      2      6      2      6      10     9      8      4      4      8      
Pavarde55           Vardas55            3      10     3      10     2      4      9      2      4      5      3      1      
Pavarde56           Vardas56            5      7      6      8      2      8      6      8      2      7      7      10     
Pavarde57           Vardas57            5      7      2      3      6      8      3      7      3      2      8      2      
Pavarde58           Vardas58            8      5      4      3      6      9      5      1      10     2      1      9      
Pavarde59           Vardas59            1      10     8      2      2      9      3      5      9      4      4      10     
Pavarde60           Vardas60            7      10     7      10     1      3      9      1      4      7      4      10     
Pavarde61           Vardas61            4      8      7      7      9      2      3      8      3      1      2      10     
Pavarde62           Vardas62            7      4      3      1      6      1      10     3      4      3      1      1      
Pavarde63           Vardas63            2      4      2      3      9      8      6      4      10     7      6      6      
Pavarde64           Vardas64            7      6      3      5      1      5      10     10     3      7      1      9      
Pavarde65           Vardas65            6      7      9      2      8      8      2      1      8      8      9      7      
Pavarde66           Vardas66            8      6      9      2      1      8      9      1      9      2      7      2      
Pavarde67           Vardas67            3      5      3      2      5      4      4      8      7      9      4      7      
Pavarde68           Vardas68            4      9      3      5      6      10     5      3      5      3      8      4      
Pavarde69           Vardas69            4      7      5      1      9      3      5      6      9      7      10     8      
Pavarde70           Vardas70            5      4      9      3      1      4      7      9      8      10     6      2      
Pavarde71           Vardas71            4      5      1      1      9      7      2      3      1      7      8      4      
Pavarde72           Vardas72            7      10     4      7      4      7      1      3      4      6      5      9      
Pavarde73           Vardas73            1      7      4      7      1      3      6      10     2      3      4      4      
Pavarde74           Vardas74            9      1      9      8      7      8      4      1      7      7      8      4      
Pavarde75           Vardas75            5      3      7      7      5      7      1      8      4      7      1      9      
Pavarde76           Vardas76            7      10     10     2      4      6      9      4      7      5      8      1      
Pavarde77           Vardas77            9      7      3      1      8      7      3      1      6      8      9      5      
Pavarde78           Vardas78            5      6      4      10     7      4      3      3      9      9      2      4      
Pavarde79           Vardas79            8      4      1      3      10     1      5      8      4      4      10     3      
Pavarde80           Vardas80            10     7      5      2      5      4      3      8      4      5      1      3      
Pavarde81           Vardas81            2      4      9      8      4      5      10     5      3      9      10     7      
Pavarde82           Vardas82            6      4      1      10     7      4      2      6      8      9      8      6      
Pavarde83           Vardas83            5      10     6      5      6      3      3      3      9      5      1      5      
Pavarde84           Vardas84            3      10     6      2      8      2      7      7      4      1      4      6      
Pavarde85           Vardas85            2      4      8      3      2      1      4      1      6      5      8      3      
Pavarde86           Vardas86            8      7      7      3      5      3      7      10     7      3      4      10     
Pavarde87           Vardas87            3      8      10     3      2      4      2      5      3      8      1      4      
Pavarde88           Vardas88            2      7      4      2      10     8      7      10     8      4      10     2      
Pavarde89           Vardas89            4      9      1      1      8      5      5      6      10     8      10     7      
Pavarde90           Vardas90            9      2      7      2      5      2      10     10     4      9      8      1      
Pavarde91           Vardas91            8      4      5      4      7      8      1      6      9      4      1      6      
Pavarde92           Vardas92            2      8      4      2      8      7      6      3      3      4      9      2      
Pavarde93           Vardas93            8      4      6      9      7      1      5      2      1      3      3      5      
Pavarde94           Vardas94            9      4      6      1      1      10     7      5      7      9      2      6      
Pavarde95           Vardas95            10     9      10     8      2      7      6      5      5      2      5      4      
Pavarde96           Vardas96            2      2      5      1      4      4      7      8      10     3      8      6      
Pavarde97           Vardas97            9      7      9      3      9      6      2      6      9      10     10     7      
Pavarde98           Vardas98            4      4      10     4      3      8      6      4      8      6      9      1      
Pavarde99           Vardas99            2      2      2      1      3      4      5      3      3      10     9      2      
Pavarde100          Vardas100           5      7      4      10     7      8      3      3      2      5      4      6      
Pavarde101          Vardas101           9      2      1      7      3      4      9      6      1      7      1      2      
Pavarde102          Vardas102           3      5      1      6      6      8      3      7      10     4      4      4      
Pavarde103          Vardas103           6      8      4      7      1      4      8      10     2      3      1      8      
Pavarde104          Vardas104           10     3      9      5      10     10     1      8      9      2      10     2      
Pavarde105          Vardas105           5      8      8      2      8      3      9      9      3      4      5      6      
Pavarde106          Vardas106           8      4      8      10     9      9      10     7      2      6      4      6      
Pavarde107          Vardas107           1      3      4      10     7      5      4      7      8      1      3      7      
Pavarde108          Vardas108           3      10     5      4      4      3      9      9      6      5      4      1      
Pavarde109          Vardas109           3      3      7      3      9      5      1      1      1      1      2      10     
Pavarde110          Vardas110           7      6      9      5      4      9      9      7      6      7      9      10     
Pavarde111          Vardas111           8      6      2      8      6      9      9      7      2      2      1      1      
Pavarde112          Vardas112           7      9      3      9      10     4      2      1      1      10     4      7      
Pavarde113          Vardas113           8      5      5      6      2      7      3      5      5      1      10     6      
Pavarde114          Vardas114           4      8      3      9      10     9      7      4      8      2      8      5      
Pavarde115          Vardas115           7      3      2      1      10     9      5      10     8      5      4      4      
Pavarde116          Vardas116           3      5      10     1      6      5      7      7      6      8      1      3      
Pavarde117          Vardas117           7      5      3      9      6      3      10     8      7      3      10     10     
Pavarde118          Vardas118           4      3      6      2      6      7      10     7      5      5      5      9      
Pavarde119          Vardas119           7      5      10     10     7      1      4      2      3      6      4      8      
Pavarde120          Vardas120           1      6      3      1      10     5      5      9      8      1      8      7      
Pavarde121          Vardas121           10     1      10     1      4      7      4      2      2      6      1      4      
Pavarde122          Vardas122           8      4      5      10     3      3      2      1      1      8      8      8      
Pavarde123          Vardas123           3      6      6      1      1      1      9      9      7      7      2      3      
Pavarde124          Vardas124           1      7      2      9      8      7      10     4      4      4      6      2      
Pavarde125          Vardas125           7      5      2      9      9      4      4      8      7      8      10     9      
Pavarde126          Vardas126           4      7      5      6      10     5      1      2      2      3      7      4      
Pavarde127          Vardas127           7      5      8      4      10     10     2      4      7      7      8      10     
Pavarde128          Vardas128           7      8      5      2      8      4      2      1      7      9      5      8      
Pavarde129          Vardas129           9      5      4      5      3      4      3      4      6      10     9      3      
Pavarde130          Vardas130           3      10     8      7      7      9      4      1      6      1      3      9      
Pavarde131          Vardas131           1      9      10     4      7      2      4      9      4      3      1      10     
Pavarde132          Vardas132           2      2      3      7      3      7      3      9      5      4      3      2      
Pavarde133          Vardas133           6      4      6      3      2      9      3      7      5      4      7      4      
Pavarde134          Vardas134           4      8      9      9      1      6      9      3      8      8      3      6      
Pavarde135          Vardas135           3      4      5      10     3      7      2      1      10     4      3      5      
Pavarde136          Vardas136           4      5      7      9      4      2      3      10     6      3      4      9      
Pavarde137          Vardas137           4      1      1      2      6      1      3      3      7      1      5      1      
Pavarde138          Vardas138           6      2      3      1      5      8      5      2      8      8      4      1      
Pavarde139          Vardas139           4      8      7      4      1      2      10     4      6      10     7      7      
Pavarde140          Vardas140           4      10     1      10     2      8      8      8      10     10     2      6      
Pavarde141          Vardas141           10     5      6      1      3      1      2      9      9      4      10     6      
Pavarde142          Vardas142           3      2      2      3      9      10     5      2      4      4      1      7      
Pavarde143          Vardas143           10     9      3      1      8      6      8      5      9      10     2      8      
Pavarde144          Vardas144           8      1      9      5      5      5      8      1      10     7      6      3      
Pavarde145          Vardas145           8      10     2      8      5      1      5      5      4      3      3      3      
Pavarde146          Vardas146           1      7      9      3      9      3      8      8      9      10     3      6      
Pavarde147          Vardas147           9      7      7      9      6      4      3      8      3      4      9      6      
Pavarde148          Vardas148           5      4      10     6      1      1      8      6      2      10     9      8      
Pavarde149          Vardas149           7      1      3      6      9      9      7      2      1      3      9      4      
Pavarde150          Vardas150           1      2      7      10     6      4      8      2      1      1      2      6      
Pavarde151          Vardas151           9      2      9      4      5      2      4      9      3      3      9      10     
Pavarde152          Vardas152           8      8      1      9      5      3      8      6      2      4      2      4      
Pavarde153          Vardas153           9      3      9      9      7      6      2      7      10     4      8      10     
Pavarde154          Vardas154           10     10     9      1      5      5      1      3      1      8      6      7      
Pavarde155          Vardas155           7      5      3      7      9      5      5      9      10     4      7      3      
Pavarde156          Vardas156           4      10     9      8      2      7      10     4      10     9      8      3      
Pavarde157          Vardas157           4      9      3      2      3      9      4      5      4      9      3      1      
Pavarde158          Vardas158           9      7      8      6      10     9      8      6      5      7      10     6      
Pavarde159          Vardas159           1      7      7      8      2      6      10     5      4      3      7      2      
Pavarde160          Vardas160           5      10     7      8      10     7      7      6      9      7      8      3      
Pavarde161          Vardas161           9      5      2      2      4      4      2      4      6      9      6      3      
Pavarde162          Vardas162           8      7      1      2      6      5      7      3      4      3      1      5      
Pavarde163          Vardas163           4      6      7      10     5      6      4      4      6      7      1      6      
Pavarde164          Vardas164           10     2      9      9      7      8      6      9      7      2      5      10     
Pavarde165          Vardas165           3      7      8      5      3      1      9      5      6      10     5      9      
Pavarde166          Vardas166           8      9      4      7      6      5      4      2      2      3      9      2      
Pavarde167          Vardas167           8      8      3      10     3      6      6      9      1      4      1      3      
Pavarde168          Vardas168           10     8      3      10     10     4      4      3      8      4      1      9      
Pavarde169          Vardas169           6      8      1      7      9      5      3      5      2      10     4      1      
Pavarde170          Vardas170           3      7      9      9      9      2      4      2      5      9      4      9      
Pavarde171          Vardas171           1      5      9      4      10     9      3      7      10     1      10     6      
Pavarde172          Vardas172           2      10     7      4      8      7      6      7      7      6      7      5      
Pavarde173          Vardas173           8      3      3      4      1      9      9      1      10     8      9      6      
Pavarde174          Vardas174           7      8      8      9      9      6      3      3      2      4      3      8      
Pavarde175          Vardas175           8      7      4      7      4      1      7      10     8      7      4      4      
Pavarde176          Vardas176           4      3      6      4      8      3      6      8      7      10     9      1      
Pavarde177          Vardas177           6      9      10     4      3      1      4      2      2      3      9      10     
Pavarde178          Vardas178           6      9      6      1      2      10     10     2      8      7      6      3      
Pavarde179          Vardas179           7      10     1      7      1      8      8      9      2      10     8      7      
Pavarde180          Vardas180           3      1      1      10     9      7      6      8      2      1      1      9      
Pavarde181          Vardas181           7      4      10     8      8      10     3      5      10     1      2      10     
Pavarde182          Vardas182           7      8      3      2      4      2      9      1      9      9      9      1      
Pavarde183          Vardas183           3      1      4      7      8      8      2      4      1      5      3      6      
Pavarde184          Vardas184           3      4      7      7      1      4      6      10     1      8      4      5      
Pavarde185          Vardas185           6      9      10     8      6      7      5      4      1      7      6      5      
Pavarde186          Vardas186           9      3      10     5      7      6      5      5      3      4      1      10     
Pavarde187          Vardas187           7      6      2      3      10     8      8      3      6      3      10     3      
Pavarde188          Vardas188           8      3      5      10     3      5      10     9      8      3      8      10     
Pavarde189          Vardas189           10     1      6      10     3      6      9      5      9      7      7      5      
Pavarde190          Vardas190           5      9      4      2      3      3      5      4      1      8      9      6      
Pavarde191          Vardas191           2      8      4      7      10     5      4      6      1      9      7      10     
Pavarde192          Vardas192           10     2      4      5      6      6      3      4      7      3      9      5      
Pavarde193          Vardas193           5      8      1      9      5      6      5      10     6      5      3      4      
Pavarde194          Vardas194           10     1      1      4      6      2      10     9      2      8      8      8      
Pavarde195          Vardas195           7      2      4      1      2      4      3      7      8      1      1      4      
Pavarde196          Vardas196           6      1      9      6      4      3      7      2      2      5      10     3      
Pavarde197          Vardas197           1      2      2      2      5      1      2      2      1      6      1      5      
Pavarde198          Vardas198           4      2      1      5      6      10     6      4      4      5      10     3      
Pavarde199          Vardas199           2      5      2      1      7      7      4      1      10     5      6      6      
Pavarde200          Vardas200           2      8      9      4      1      7      10     1      3      6      6      3      
Pavarde201          Vardas201           4      5      3      2      6      3      9      1      8      4      9      6      
Pavarde202          Vardas202           6      8      8      3      6      3      4      7      2      7      6      1      
Pavarde203          Vardas203           5      10     1      5      9      3      5      7      6      2      10     10     
Pavarde204          Vardas204           5      4      6      9      2      9      3      1      3      7      5      7      
Pavarde205          Vardas205           7      10     7      8      3      3      5      10     2      2      9      6      
Pavarde206          Vardas206           3      5      8      1      8      8      8      1      2      4      1      8      
Pavarde207          Vardas207           4      1      1      8      1      8      4      2      4      6      1      7      
Pavarde208          Vardas208           10     6      8      7      5      2      4      2      1      5      7      8      
Pavarde209          Vardas209           4      4      2      9      1      6      8      5      3      3      1      8      
Pavarde210          Vardas210           10     9      8      6      2      7      9      5      2      9      10     2      
Pavarde211          Vardas211           1      2      7      3      5      9      10     9      3      4      5      4      
Pavarde212          Vardas212           7      7      8      8      7      1      9      10     9      1      8      9      
Pavarde213          Vardas213           6      5      9      9      4      5      5      3      7      3      2      10     
Pavarde214          Vardas214           6      3      1      10     7      4      2      3      1      2      3      4      
Pavarde215          Vardas215           5      5      3      3      1      4      9      5      6      8      9      7      
Pavarde216          Vardas216           6      3      4      1      7      9      8      6      6      4      3      5      
Pavarde217          Vardas217           9      7      4      2      9      2      3      8      3      1      4      2      
Pavarde218          Vardas218           10     3      5      1      4      2      9      1      6      10     5      4      
Pavarde219          Vardas219           4      2      10     9      9      8      6      1      4      9      1      8      
Pavarde220          Vardas220           5      4      8      3      5      5      9      9      3      3      1      8      
Pavarde221          Vardas221           9      2      6      4      1      1      2      2      5      3      6      7      
Pavarde222          Vardas222           2      3      6      6      9      9      8      4      4      3      10     10     
Pavarde223          Vardas223           9      3      1      5      7      6      3      3      4      5      9      1      
Pavarde224          Vardas224           3      8      6      7      10     5      7      1      3      8      2      4      
Pavarde225          Vardas225           6      9      5      7      8      3      3      3      4      4      9      3      
Pavarde226          Vardas226           7      5      8      8      1      7      4      5      6      6      4      6      
Pavarde227          Vardas227           2      6      7      5      10     4      10     9      4      2      5      7      
Pavarde228          Vardas228           6      6      1      1      1      9      9      4      9      2      6      5      
Pavarde229          Vardas229           10     5      9      9      6      6      7      8      9      5      4      3      
Pavarde230          Vardas230           2      3      1      2      9      1      1      7      8      2      4      2      
Pavarde231          Vardas231           8      8      7      9      4      2      9      6      9      8      2      4      
Pavarde232          Vardas232           8      9      5      9      9      3      9      5      3      3      3      10     
Pavarde233          Vardas233           5      8      2      6      9      6      2      2      6      4      2      6      
Pavarde234          Vardas234           2      6      5      10     2      5      3      9      2      7      6      10     
Pavarde235          Vardas235           4      9      9      10     3      2      5      3      5      4      2      1      
Pavarde236          Vardas236           6      6      1      4      10     5      1      7      7      9      9      10     
Pavarde237          Vardas237           4      10     3      10     9      7      1      2      9      4      7      10     
Pavarde238          Vardas238           1      1      10     4      7      10     2      3      10     3      10     5      
Pavarde239          Vardas239           6      1      7      3      6      5      3      5      6      6      7      3      
Pavarde240          Vardas240           1      10     9      8      5      3      8      2      9      3      4      1      
Pavarde241          Vardas241           4      8      4      2      9      8      6      10     4      3      8      6      
Pavarde242          Vardas242           6      6      10     2      8      2      1      1      10     2      5      8      
Pavarde243          Vardas243           2      10     4      10     7      3      6      8      6      6      4      2      
Pavarde244          Vardas244           4      10     2      6      5      2      8      5      9      2      6      6      
Pavarde245          Vardas245           3      2      2      7      2      9      3      4      10     8      8      6      
Pavarde246          Vardas246           1      1      3      2      10     2      9      9      4      4      10     4      
Pavarde247          Vardas247           2      7      6      1      2      4      3      8      1      1      7      10     
Pavarde248          Vardas248           7      7      4      4      1      5      2      4      6      8      9      2      
Pavarde249          Vardas249           4      4      1      1      6      1      9      7      4      3      3      10     
Pavarde250          Vardas250           4      8      1      9      9      7      9      6      6      8      10     1      
Pavarde251          Vardas251           7      8      9      9      2      2      5      5      2      9      3      3      
Pavarde252          Vardas252           8      5      9      8      3      5      8      7      9      9      2      3      
Pavarde253          Vardas253           8      4      5      8      3      7      5      1      4      3      6      2      
Pavarde254          Vardas254           7      7      9      6      9      7      2      7      4      7      6      2      
Pavarde255          Vardas255           3      4      8      5      7      7      1      10     4      1      8      8      
Pavarde256          Vardas256           2      10     7      7      10     4      10     10     4      8      9      9      
Pavarde257          Vardas257           9      10     3      7      3      1      9      6      8      7      8      10     
Pavarde258          Vardas258           2      2      3      9      7      6      8      7      5      3      6      4      
Pavarde259          Vardas259           8      8      5      6      3      4      1      5      7      9      7      1      
Pavarde260          Vardas260           3      5      5      9      1      8      7      1      3      7      10     1      
Pavarde261          Vardas261           6      10     1      8      6      5      7      4      8      9      8      2      
Pavarde262          Vardas262           2      1      2      5      4      10     2      2      10     3      3      4      
Pavarde263          Vardas263           1      8      6      1      6      2      6      1      3      1      7      5      
Pavarde264          Vardas264           3      5      7      10     7      5      7      3      2      1      10     10     
Pavarde265          Vardas265           8      5      7      7      3      10     6      3      4      2      5      1      
Pavarde266          Vardas266           7      2      10     10     9      10     3      7      7      3      4      7      
Pavarde267          Vardas267           5      9      1      9      5      9      9      5      7      7      6      3      
Pavarde268          Vardas268           2      9      7      1      1      8      6      5      7      1      3      2      
Pavarde269          Vardas269           10     10     2      3      6      9      8      4      5      4      5      4      
Pavarde270          Vardas270           10     5      10     9      9      5      2      3      3      8      7      10     
Pavarde271          Vardas271           1      3      8      3      7      1      6      8      10     1      4      9      
Pavarde272          Vardas272           8      5      1      5      10     9      2      4      6      4      7      2      
Pavarde273          Vardas273           6      10     1      2      3      8      9      2      6      2      2      7      
Pavarde274          Vardas274           4      5      4      1      1      1      10     3      10     5      7      10     
Pavarde275          Vardas275           2      7      3      9      6      1      1      7      4      10     4      5      
Pavarde276          Vardas276           8      9      1      6      1      10     6      3      3      3      1      5      
Pavarde277          Vardas277           9      5      3      8      6      3      3      9      4      10     6      2      
Pavarde278          Vardas278           7      4      5      1      6      6      7      8      10     10     10     1      
Pavarde279          Vardas279           2      4      5      8      6      10     8      8      5      8      10     8      
Pavarde280          Vardas280           6      7      2      8      4      3      7      3      3      10     8      9      
Pavarde281          Vardas281           4      1      4      7      1      5      6      7      5      8      9      8      
Pavarde282          Vardas282           4      10     4      2      2      5      7      2      10     9      9      1      
Pavarde283          Vardas283           4      3      7      7      2      10     3      7      9      5      6      5      
Pavarde284          Vardas284           10     10     4      4      10     5      4      8      4      1      9      2      
Pavarde285          Vardas285           1      10     3      7      5      9      5      4      9      10     3      2      
Pavarde286          Vardas286           4      7      4      7      5      6      2      5      9      4      10     4      
Pavarde287          Vardas287           2      4      5      1      6      3      6      10     9      4      9      3      
Pavarde288          Vardas288           7      1      3      5      3      6      2      10     2      10     6      5      
Pavarde289          Vardas289           10     9      10     8      3      9      3      3      7      6      2      2      
Pavarde290          Vardas290           5      6      7      4      3      3      1      9      6      1      1      8      
Pavarde291          Vardas291           10     2      1      10     1      7      10     5      2      7      9      6      
Pavarde292          Vardas292           2      10     10     7      4      1      2      5      5      10     5      5      
Pavarde293          Vardas293           5      8      8      6      6      4      2      5      4      7      10     7      
Pavarde294          Vardas294           7      4      2      4      5      8      6      7      1      8      1      10     
Pavarde295          Vardas295           3      8      10     5      10     7      5      5      6      5      3      5      
Pavarde296          Vardas296           8      2      6      2      3      9      3      10     7      5      1      10     
Pavarde297          Vardas297           1      7      9      6      3      10     5      2      1      8      3      2      
Pavarde298          Vardas298           2      7      3      7      6      8      3      6      8      9      6      3      
Pavarde299          Vardas299           5      10     6      8      5      5      3      4      8      6      7      10     
Pavarde300          Vardas300           8      8      10     10     4      6      5      3      2      7      9      5      
Pavarde301          Vardas301           10     7      8      1      3      2      10     4      6      3      8      5      
Pavarde302          Vardas302           7      3      9      2      5      10     2      6      9      4      4      7      
Pavarde303          Vardas303           7      10     6      5      3      6      8      2      5      1      6      4      
Pavarde304          Vardas304           4      6      10     7      1      4      10     6      7      4      3      3      
Pavarde305          Vardas305           9      9      10     2      7      3      2      2      10     5      6      3      
Pavarde306          Vardas306           1      3      9      3      4      2      2      4      8      5      6      8      
Pavarde307          Vardas307           2      10     5      1      1      6      5      1      8      4      6      3      
Pavarde308          Vardas308           9      2      1      1      5      6      9      10     1      5      2      6      
Pavarde309          Vardas309           3      5      8      3      9      4      6      10     8      8      4      3      
Pavarde310          Vardas310           1      4      4      5      4      1      3      3      3      6      5      1      
Pavarde311          Vardas311           8      6      4      6      7      3      10     10     8      1      8      6      
Pavarde312          Vardas312           9      10     10     2      1      6      10     9      5      5      8      6      
Pavarde313          Vardas313           3      7      7      7      9      2      6      9      7      3      5      7      
Pavarde314          Vardas314           2      3      3      10     2      1      2      10     9      2      4      9      
Pavarde315          Vardas315           5      9      7      4      10     9      5      5      2      2      3      7      
Pavarde316          Vardas316           4      8      6      8      3      4      4      4      5      9      6      8      
Pavarde317          Vardas317           2      8      3      2      2      4      3      7      4      1      3      7      
Pavarde318          Vardas318           8      8      1      7      6      5      8      2      6      6      3      6      
Pavarde319          Vardas319           7      1      1      3      2      5      9      6      3      4      9      1      
Pavarde320          Vardas320           6      7      5      10     7      4      10     9      3      3      7      3      
Pavarde321          Vardas321           8      2      9      9      7      5      8      3      8      3      9      7      
Pavarde322          Vardas322           4      1      4      7      7      10     8      10     10     1      10     10     
Pavarde323          Vardas323           3      4      4      4      10     1      10     3      5      5      1      6      
Pavarde324          Vardas324           4      8      5      2      1      8      1      4      8      3      9      1      
Pavarde325          Vardas325           2      8      4      7      9      3      9      9      2      6      7      1      
Pavarde326          Vardas326           10     4      5      7      3      5      3      8      8      8      4      1      
Pavarde327          Vardas327           9      4      7      6      7      7      4      5      4      6      2      5      
Pavarde328          Vardas328           1      4      8      6      2      4      10     8      6      10     5      10     
Pavarde329          Vardas329           2      8      5      5      1      9      6      1      7      4      1      4      
Pavarde330          Vardas330           3      8      9      10     2      4      9      8      8      10     3      3      
Pavarde331          Vardas331           5      6      9      7      4      1      7      9      5      3      1      1      
Pavarde332          Vardas332           2      3      2      4      5      5      10     9      8      1      2      9      
Pavarde333          Vardas333           4      4      1      8      9      1      3      1      8      5      1      8      
Pavarde334          Vardas334           3      7      7      1      5      1      3      7      6      6      1      2      
Pavarde335          Vardas335           4      5      6      4      4      1      1      6      7      3      7      3      
Pavarde336          Vardas336           10     1      2      5      6      4      10     6      8      4      4      1      
Pavarde337          Vardas337           9      8      8      3      2      6      8      10     2      7      9      10     
Pavarde338          Vardas338           4      6      6      5      6      9      1      3      9      2      1      6      
Pavarde339          Vardas339           9      6      6      9      5      10     2      6      4      2      10     5      
Pavarde340          Vardas340           4      7      6      4      4      8      8      3      6      8      10     6      
Pavarde341          Vardas341           2      1      8      10     2      6      10     9      10     4      6      10     
Pavarde342          Vardas342           4      10     3      3      9      6      10     2      7      8      8      7      
Pavarde343          Vardas343           3      6      1      8      10     6      2      2      9      3      5      1      
Pavarde344          Vardas344           1      1      8      1      2      8      8      5      10     6      10     3      
Pavarde345          Vardas345           10     9      7      4      2      1      2      3      4      3      6      4      
Pavarde346          Vardas346           6      6      5      6      10     10     3      4      2      3      8      10     
Pavarde347          Vardas347           1      1      7      1      2      6      5      5      7      6      3      8      
Pavarde348          Vardas348           10     9      10     1      6      9      7      10     10     10     6      5      
Pavarde349          Vardas349           1      6      9      7      4      4      1      5      8      1      2      2      
Pavarde350          Vardas350           4      3      2      8      4      3      8      3      9      4      3      8      
Pavarde351          Vardas351           2      10     2      6      10     10     5      6      3      9      2      10     
Pavarde352          Vardas352           5      7      5      8      2      3      9      4      8      2      3      10     
Pavarde353          Vardas353           10     8      2      6      5      2      3      7      8      5      9      1      
Pavarde354          Vardas354           4      8      3      3      1      9      3      10     6      10     5      6      
Pavarde355          Vardas355           6      3      8      5      1      3      6      10     8      7      10     6      
Pavarde356          Vardas356           4      6      6      9      2      8      9      3      7      7      7      3      
Pavarde357          Vardas357           7      7      8      1      7      3      2      9      4      5      7      6      
