Pavarde             Vardas              ND1    ND2    ND3    ND4    ND5    ND6    ND7    ND8    ND9    ND10   ND11   ND12   ND13   ND14   ND15   ND16   Egz. 
Pavarde35           Vardas35            5      10     6      5      10     9      8      8      7      3      9      9      2      10     2      6      7      
Pavarde36           Vardas36            4      8      7      10     5      3      1      7      6      7      6      4      9      5      2      8      7      
Pavarde37           Vardas37            4      7      9      2      2      3      2      7      5      6      6      4      8      3      4      9      9      
Pavarde38           Vardas38            3      2      5      2      7      3      5      10     9      3      8      4      1      4      1      6      1      
Pavarde39           Vardas39            7      10     8      8      3      8      7      1      3      3      6      8      2      10     3      1      10     
Pavarde40           Vardas40            10     5      7      10     3      1      8      6      3      8      1      1      2      6      7      5      8      
Pavarde41           Vardas41            6      5      2      4      6      2      7      5      8      1      1      4      3      5      3      2      2      
Pavarde42           Vardas42            8      5      10     5      1      7      2      3      3      3      10     10     1      1      10     8      5      
Pavarde43           Vardas43            9      2      7      3      4      7      9      2      2      1      3      3      10     7      5      1      1      
Pavarde44           Vardas44            1      5      5      6      2      5      2      2      7      4      7      5      6      9      1      5      2      
Pavarde45           Vardas45            1      8      7      5      7      8      3      9      3      7      2      8      2      5      1      4      6      
Pavarde46           Vardas46            1      3      8      10     7      6      1      7      3      9      6      2      2      8      4      2      7      
Pavarde47           Vardas47            1      6      5      4      1      9      1      9      9      7      7      2      6      6      1      8      3      
Pavarde48           Vardas48            2      7      8      3      10     5      9      7      1      8      10     1      2      3      5      1      5      
Pavarde49           Vardas49            5      4      3      9      8      4      3      1      5      3      2      4      6      8      9      4      8      
Pavarde50           Vardas50            9      10     3      3      7      7      10     2      6      8      4      2      2      7      2      2      9      
Pavarde51           Vardas51            4      2      5      3      2      6      3      8      7      5      2      3      8      5      5      9      2      
Pavarde52           Vardas52            9      10     9      2      9      3      8      4      5      2      8      5      1      3      3      3      1      
Pavarde53           Vardas53            6      2      8      4      6      8      8      2      3      1      5      10     4      1      5      9      4      
Pavarde54           Vardas54            8      7      5      7      7      5      2      5      5      4      7      4      8      7      8      5      9      
Pavarde55           Vardas55            4      4      4      10     4      7      3      4      9      8      4      10     2      2      3      1      1      
Pavarde56           Vardas56            10     1      7      10     3      2      10     6      4      4      10     5      3      2      9      1      10     
Pavarde57           Vardas57            10     8      9      3      6      10     10     6      1      5      8      1      1      10     8      3      10     
Pavarde58           Vardas58            9      7      7      2      5      7      3      8      8      4      5      4      6      10     4      9      3      
Pavarde59           Vardas59            9      5      4      6      4      10     5      2      1      9      1      3      6      4      6      5      7      
Pavarde60           Vardas60            9      9      3      8      7      7      1      6      2      10     9      7      8      5      2      9      1      
Pavarde61           Vardas61            4      5      4      5      3      1      8      4      5      10     5      3      1      10     5      8      3      
Pavarde62           Vardas62            8      6      10     5      10     9      4      3      8      2      6      3      5      8      6      8      5      
Pavarde63           Vardas63            9      9      2      10     1      5      9      5      8      6      2      9      10     9      4      7      7      
Pavarde64           Vardas64            2      2      6      4      7      7      9      10     7      5      1      6      5      2      3      7      5      
Pavarde65           Vardas65            6      3      6      10     10     2      4      10     4      4      9      1      8      2      2      7      8      
Pavarde66           Vardas66            2      9      8      1      4      8      4      1      8      5      10     7      6      1      2      9      7      
Pavarde67           Vardas67            5      6      5      9      5      1      1      9      10     7      3      4      4      6      9      5      1      
Pavarde68           Vardas68            5      2      1      10     3      2      8      7      5      5      8      1      3      6      3      10     9      
Pavarde69           Vardas69            8      2      3      3      5      10     7      4      4      2      4      8      7      10     9      10     7      
Pavarde70           Vardas70            10     9      3      1      1      1      7      7      6      3      8      9      2      7      6      4      6      
Pavarde71           Vardas71            7      3      8      10     2      6      8      6      1      5      5      2      3      9      2      3      10     
Pavarde72           Vardas72            9      7      6      1      8      8      7      4      1      7      10     6      7      6      8      1      3      
Pavarde73           Vardas73            2      4      5      8      4      3      4      5      3      3      8      1      5      4      7      8      10     
Pavarde74           Vardas74            8      7      4      8      4      2      8      10     1      6      10     2      6      3      10     6      3      
Pavarde75           Vardas75            2      1      2      10     5      10     2      2      10     8      5      5      3      7      2      7      6      
Pavarde76           Vardas76            5      7      2      10     3      7      6      7      9      1      5      10     5      9      7      6      5      
Pavarde77           Vardas77            10     5      8      2      4      2      5      3      4      7      8      1      10     3      3      8      10     
Pavarde78           Vardas78            2      8      6      1      5      8      4      2      3      8      3      2      10     5      3      2      3      
Pavarde79           Vardas79            7      3      2      6      3      3      5      7      6      10     3      2      10     3      5      7      3      
Pavarde80           Vardas80            2      10     10     5      10     4      9      6      8      10     8      4      3      1      1      9      9      
Pavarde81           Vardas81            6      4      3      5      1      8      4      2      6      10     3      9      1      5      4      9      6      
Pavarde82           Vardas82            7      7      5      1      4      6      9      7      9      1      9      10     10     9      6      4      6      
Pavarde83           Vardas83            5      1      2      3      8      9      5      8      9      8      7      10     10     10     3      1      1      
Pavarde84           Vardas84            7      4      10     3      7      3      7      6      10     7      9      7      4      3      9      10     2      
Pavarde85           Vardas85            5      7      3      4      1      3      2      1      2      9      5      4      8      1      10     10     6      
Pavarde86           Vardas86            3      4      3      10     2      3      7      10     2      4      8      8      10     4      9      10     4      
Pavarde87           Vardas87            8      2      7      8      6      2      8      8      8      8      10     7      1      3      5      6      5      
Pavarde88           Vardas88            10     6      4      10     9      8      5      1      5      8      7      1      5      2      4      9      9      
Pavarde89           Vardas89            4      2      9      5      6      3      4      4      5      10     6      5      7      10     4      6      7      
Pavarde90           Vardas90            1      10     2      7      4      5      8      3      7      7      4      8      6      5      8      10     9      
Pavarde91           Vardas91            1      6      10     10     4      2      7      9      9      4      10     2      10     1      7      1      10     
Pavarde92           Vardas92            9      4      7      8      2      7      1      5      8      8      2      8      10     2      2      5      3      
Pavarde93           Vardas93            5      6      9      4      5      5      6      6      10     10     9      2      2      4      5      7      6      
Pavarde94           Vardas94            7      1      3      10     1      7      2      7      5      6      10     5      6      7      7      8      5      
Pavarde95           Vardas95            10     2      8      1      3      4      8      3      7      1      7      2      3      1      7      5      7      
Pavarde96           Vardas96            2      8      6      6      3      1      8      9      5      2      7      9      1      9      4      2      10     
Pavarde97           Vardas97            5      7      9      8      5      3      7      7      10     4      7      8      6      1      3      4      4      
Pavarde98           Vardas98            10     3      4      2      8      9      5      8      7      2      6      4      4      7      5      5      9      
Pavarde99           Vardas99            4      5      3      10     4      9      7      1      8      2      8      9      8      3      3      6      5      
Pavarde100          Vardas100           9      10     10     7      8      2      3      4      10     10     5      1      3      8      8      10     4      
Pavarde101          Vardas101           4      10     10     2      3      6      2      1      10     5      9      9      8      7      7      5      4      
Pavarde102          Vardas102           1      3      7      2      4      9      6      10     8      6      3      4      4      6      6      5      7      
Pavarde103          Vardas103           10     6      2      2      3      9      1      5      8      1      5      1      3      1      8      10     5      
Pavarde104          Vardas104           10     4      5      5      4      4      8      10     7      1      4      5      4      5      7      4      4      
Pavarde105          Vardas105           5      1      4      10     4      2      4      3      1      3      7      9      7      3      6      7      7      
Pavarde106          Vardas106           9      10     2      8      6      2      9      9      6      9      5      3      2      5      3      10     8      
Pavarde107          Vardas107           8      4      1      6      6      2      3      5      9      2      6      10     10     3      3      10     8      
Pavarde108          Vardas108           7      6      3      2      6      4      6      3      5      7      4      10     10     10     9      8      3      
Pavarde109          Vardas109           3      10     4      6      10     4      6      6      4      3      7      6      9      8      2      1      1      
Pavarde110          Vardas110           10     5      3      1      4      8      9      6      7      1      10     8      2      3      7      7      8      
Pavarde111          Vardas111           2      7      7      10     8      5      5      7      6      2      2      2      1      8      8      7      8      
Pavarde112          Vardas112           10     4      3      10     9      4      5      3      2      7      5      4      6      4      4      8      2      
Pavarde113          Vardas113           2      9      7      3      1      6      7      3      9      1      8      10     8      3      1      7      1      
Pavarde114          Vardas114           10     9      1      10     1      4      9      10     6      1      3      6      7      6      1      3      3      
Pavarde115          Vardas115           6      6      8      4      3      4      6      6      3      9      2      2      5      7      8      6      4      
Pavarde116          Vardas116           7      4      1      3      8      6      4      1      2      2      9      2      4      10     2      1      4      
Pavarde117          Vardas117           1      1      10     4      4      2      9      4      9      3      7      3      8      1      10     6      5      
Pavarde118          Vardas118           3      4      4      1      5      6      5      4      5      6      7      3      10     1      6      6      4      
Pavarde119          Vardas119           10     6      9      1      3      5      6      5      2      2      5      1      9      6      7      10     9      
Pavarde120          Vardas120           2      1      9      7      4      5      7      7      10     9      6      8      10     6      3      7      7      
Pavarde121          Vardas121           1      6      1      7      8      9      10     3      6      5      10     9      5      3      10     4      7      
Pavarde122          Vardas122           7      1      7      5      5      3      2      8      1      7      3      1      7      5      4      7      7      
Pavarde123          Vardas123           1      9      6      3      5      9      5      10     10     8      9      10     8      3      5      2      10     
Pavarde124          Vardas124           3      9      9      9      4      1      6      6      6      7      8      9      3      6      7      1      3      
Pavarde125          Vardas125           10     7      1      5      5      10     3      7      9      7      2      2      6      7      8      10     9      
Pavarde126          Vardas126           2      4      3      8      2      2      8      7      5      3      9      1      10     1      4      6      2      
Pavarde127          Vardas127           6      7      10     9      7      4      9      5      3      4      5      1      1      7      5      8      7      
Pavarde128          Vardas128           1      10     3      4      6      6      8      4      3      5      7      1      7      8      6      1      4      
Pavarde129          Vardas129           8      8      4      5      6      6      4      4      8      1      10     8      7      5      7      5      5      
Pavarde130          Vardas130           5      8      3      7      9      2      9      8      1      8      9      4      2      5      5      2      5      
Pavarde131          Vardas131           7      8      9      1      6      7      1      5      3      6      2      6      2      2      6      5      3      
Pavarde132          Vardas132           2      7      2      6      2      9      8      7      8      6      6      1      4      1      10     9      5      
Pavarde133          Vardas133           3      10     9      8      3      8      8      6      8      1      5      3      8      3      5      4      3      
Pavarde134          Vardas134           4      4      6      2      4      1      4      8      10     9      3      10     8      4      7      9      3      
Pavarde135          Vardas135           9      3      7      6      10     5      6      5      1      3      8      7      9      4      5      2      6      
Pavarde136          Vardas136           2      7      6      9      4      5      5      4      4      7      3      8      1      1      9      9      5      
Pavarde137          Vardas137           9      3      2      9      1      7      7      8      9      1      7      7      6      9      9      10     9      
Pavarde138          Vardas138           1      2      9      4      2      9      4      10     1      2      4      3      2      8      8      3      6      
Pavarde139          Vardas139           5      2      3      8      9      10     6      4      6      7      4      6      8      4      2      1      10     
Pavarde140          Vardas140           2      5      5      10     5      5      10     7      8      6      2      4      5      10     9      1      4      
Pavarde141          Vardas141           3      2      10     7      7      4      9      7      1      6      4      8      1      1      10     2      10     
Pavarde142          Vardas142           9      8      2      3      1      7      9      7      2      6      6      5      2      9      5      10     5      
Pavarde143          Vardas143           3      10     8      7      6      2      4      7      5      1      7      6      8      5      4      2      8      
Pavarde144          Vardas144           3      8      6      7      9      3      3      1      3      4      9      7      5      6      2      2      8      
Pavarde145          Vardas145           6      10     10     4      6      10     10     5      5      3      10     2      7      10     10     3      10     
Pavarde146          Vardas146           9      2      8      4      2      7      6      1      3      3      5      7      8      9      2      3      4      
Pavarde147          Vardas147           2      7      8      8      9      10     8      10     8      10     8      10     10     5      2      10     1      
Pavarde148          Vardas148           3      8      2      5      1      7      3      5      8      5      5      8      1      3      10     10     9      
Pavarde149          Vardas149           2      1      9      7      2      2      2      2      4      4      6      10     9      8      6      6      2      
Pavarde150          Vardas150           8      9      9      7      3      7      2      4      8      2      3      4      3      3      8      2      9      
Pavarde151          Vardas151           2      3      8      9      7      1      2      9      10     6      9      10     9      1      2      5      5      
Pavarde152          Vardas152           8      4      2      6      3      1      6      7      5      6      10     4      5      5      10     8      4      
Pavarde153          Vardas153           1      5      5      10     9      5      5      7      7      3      1      7      8      2      9      6      9      
Pavarde154          Vardas154           7      7      8      8      8      9      10     3      10     5      5      8      6      3      5      6      7      
Pavarde155          Vardas155           5      4      9      3      2      8      7      7      10     2      8      3      10     2      2      7      2      
Pavarde156          Vardas156           4      10     4      7      10     10     8      3      2      5      4      5      8      3      2      9      5      
Pavarde157          Vardas157           6      1      8      2      7      8      5      9      6      9      3      7      2      2      10     7      9      
Pavarde158          Vardas158           5      2      1      6      4      7      4      6      2      5      9      7      1      8      7      2      10     
Pavarde159          Vardas159           10     7      2      1      3      7      4      7      7      8      1      1      4      5      8      5      6      
Pavarde160          Vardas160           6      5      3      8      7      2      8      5      8      1      8      1      3      6      9      10     1      
Pavarde161          Vardas161           10     2      3      7      2      1      3      6      9      7      7      5      8      7      2      8      9      
Pavarde162          Vardas162           8      6      3      6      7      8      10     6      8      8      10     6      7      2      9      7      3      
Pavarde163          Vardas163           3      3      3      3      5      10     7      3      5      3      1      1      3      1      1      8      5      
Pavarde164          Vardas164           2      8      7      6      1      1      8      5      8      3      7      4      4      1      2      7      7      
Pavarde165          Vardas165           4      3      9      2      1      10     1      10     9      5      3      8      5      9      2      5      8      
Pavarde166          Vardas166           3      3      7      8      1      10     1      7      8      7      5      8      5      10     2      1      8      
Pavarde167          Vardas167           2      9      10     8      4      4      2      10     9      4      3      4      1      6      9      2      2      
Pavarde168          Vardas168           3      6      9      8      8      5      6      10     9      2      9      5      3      1      7      10     2      
Pavarde169          Vardas169           4      6      4      1      6      5      9      7      4      10     8      8      9      7      4      9      2      
Pavarde170          Vardas170           6      10     9      9      10     6      9      4      3      2      10     5      2      6      6      5      10     
Pavarde171          Vardas171           10     2      7      4      5      6      4      7      6      5      6      4      4      8      7      5      9      
Pavarde172          Vardas172           9      7      6      1      1      10     4      2      1      10     2      5      4      9      5      3      1      
Pavarde173          Vardas173           3      2      7      1      5      9      9      1      6      10     3      7      9      8      6      9      3      
Pavarde174          Vardas174           8      8      6      5      2      4      1      5      9      2      9      5      7      7      2      5      5      
Pavarde175          Vardas175           10     9      10     2      10     2      6      9      3      7      9      10     3      9      6      3      1      
Pavarde176          Vardas176           6      6      9      6      6      7      8      1      9      1      8      7      4      7      5      6      4      
Pavarde177          Vardas177           8      7      1      5      10     4      8      2      6      5      1      6      7      3      2      2      5      
Pavarde178          Vardas178           10     9      8      9      2      2      5      6      1      1      7      6      4      10     1      6      9      
Pavarde179          Vardas179           6      1      4      8      8      6      3      9      6      3      6      8      10     10     8      6      2      
Pavarde180          Vardas180           9      1      3      5      10     1      10     2      7      1      8      3      3      9      10     7      6      
Pavarde181          Vardas181           5      10     6      4      2      3      5      9      3      5      4      6      9      8      3      2      9      
Pavarde182          Vardas182           1      2      8      6      2      6      3      6      7      8      2      10     9      1      1      2      8      
Pavarde183          Vardas183           8      5      2      9      5      3      2      8      7      5      7      9      2      6      5      6      8      
Pavarde184          Vardas184           3      2      10     7      9      10     10     10     9      8      5      7      3      10     6      10     1      
Pavarde185          Vardas185           5      8      6      5      3      3      7      1      5      9      9      5      1      5      7      5      5      
Pavarde186          Vardas186           8      5      1      5      4      3      4      3      9      4      10     5      6      4      1      10     5      
Pavarde187          Vardas187           1      10     3      5      2      5      4      2      8      3      8      1      6      4      6      2      10     
Pavarde188          Vardas188           3      9      4      5      7      10     4      3      7      7      1      1      9      10     8      2      2      
Pavarde189          Vardas189           9      8      5      1      1      3      1      10     9      6      1      10     7      8      7      5      4      
Pavarde190          Vardas190           9      7      7      5      3      4      7      8      7      3      8      3      9      5      4      3      9      
Pavarde191          Vardas191           9      5      6      10     10     4      2      1      5      7      2      7      1      9      1      4      4      
Pavarde192          Vardas192           10     10     10     9      7      1      1      7      8      5      8      9      2      1      10     4      9      
Pavarde193          Vardas193           1      9      6      1      4      4      1      4      3      2      6      6      5      1      1      3      7      
Pavarde194          Vardas194           10     6      10     10     10     1      4      10     8      4      4      8      9      4      2      1      7      
Pavarde195          Vardas195           6      6      4      10     5      8      4      4      2      5      1      3      6      4      8      9      5      
Pavarde196          Vardas196           10     5      5      7      6      6      6      9      8      9      7      6      4      1      7      10     8      
Pavarde197          Vardas197           1      4      4      5      5      9      9      3      4      3      9      6      2      5      1      7      2      
Pavarde198          Vardas198           1      3      5      2      5      4      1      9      10     1      4      1      8      4      3      1      2      
Pavarde199          Vardas199           8      5      3      4      5      1      10     1      9      5      9      1      8      8      2      9      4      
Pavarde200          Vardas200           8      1      4      8      2      2      6      6      7      2      2      2      7      7      7      4      5      
Pavarde201          Vardas201           7      8      3      10     4      6      7      8      9      6      2      1      6      2      3      10     2      
Pavarde202          Vardas202           9      5      5      10     2      9      6      8      5      2      10     2      7      2      4      4      4      
Pavarde203          Vardas203           10     10     3      7      6      10     7      1      10     7      4      10     9      9      9      6      2      
Pavarde204          Vardas204           2      8      4      7      3      2      5      2      1      4      1      10     1      6      9      4      5      
Pavarde205          Vardas205           4      5      1      3      4      3      3      5      9      2      2      9      3      9      2      2      6      
Pavarde206          Vardas206           8      8      1      1      9      6      7      8      8      4      5      9      7      1      1      8      5      
Pavarde207          Vardas207           3      1      9      1      1      3      3      2      10     7      7      3      4      7      1      5      3      
Pavarde208          Vardas208           3      7      5      1      8      1      3      9      1      10     6      4      10     1      2      9      1      
Pavarde209          Vardas209           6      2      9      1      7      1      2      1      6      10     1      7      10     5      5      4      4      
Pavarde210          Vardas210           8      8      4      9      7      6      2      5      4      4      6      7      4      8      10     10     2      
Pavarde211          Vardas211           5      5      9      10     4      10     8      9      2      8      2      8      1      3      8      8      1      
Pavarde212          Vardas212           5      6      6      1      3      7      2      6      9      8      6      9      8      8      3      4      9      
Pavarde213          Vardas213           8      3      10     9      5      1      1      6      7      7      5      8      10     8      8      3      1      
Pavarde214          Vardas214           5      2      8      5      7      4      1      6      8      3      9      3      9      3      9      1      4      
Pavarde215          Vardas215           7      1      7      7      7      8      3      6      4      6      9      10     7      1      2      4      1      
Pavarde216          Vardas216           3      3      4      3      1      4      9      3      8      3      4      4      3      9      3      7      7      
Pavarde217          Vardas217           1      5      10     4      7      4      6      1      2      10     3      7      8      6      2      10     7      
Pavarde218          Vardas218           8      1      4      8      9      4      3      5      5      7      6      10     1      8      4      7      2      
Pavarde219          Vardas219           5      1      9      7      6      7      5      4      7      1      10     8      6      10     4      3      4      
Pavarde220          Vardas220           8      5      8      5      2      6      1      7      5      9      5      9      6      9      4      8      4      
Pavarde221          Vardas221           10     5      6      4      8      10     5      7      5      3      4      10     4      6      3      10     8      
Pavarde222          Vardas222           6      6      5      4      6      2      6      7      4      5      10     3      3      4      3      9      7      
Pavarde223          Vardas223           5      3      4      6      7      6      5      8      2      2      10     7      5      2      3      1      8      
Pavarde224          Vardas224           6      9      1      2      10     7      8      7      7      6      6      9      10     1      10     5      7      
Pavarde225          Vardas225           4      5      4      4      6      4      9      5      6      5      5      9      6      6      10     1      6      
Pavarde226          Vardas226           5      10     9      6      4      1      10     6      8      4      2      4      4      5      2      2      2      
Pavarde227          Vardas227           2      7      10     3      9      9      5      6      4      1      5      1      4      10     3      1      3      
Pavarde228          Vardas228           9      1      8      9      1      4      2      9      8      10     3      3      10     4      4      8      8      
Pavarde229          Vardas229           1      10     2      2      8      9      4      8      2      1      1      10     6      9      9      8      2      
Pavarde230          Vardas230           4      6      7      3      6      10     7      9      7      10     7      9      2      6      3      4      8      
Pavarde231          Vardas231           2      9      10     1      10     1      5      5      10     1      1      8      7      5      9      3      9      
Pavarde232          Vardas232           1      2      3      8      3      7      9      5      7      3      10     5      5      6      9      3      10     
Pavarde233          Vardas233           7      3      2      3      8      6      6      3      7      4      1      9      6      8      2      4      6      
Pavarde234          Vardas234           1      5      6      8      2      10     9      10     10     6      9      4      3      10     9      3      1      
Pavarde235          Vardas235           2      5      7      8      9      4      8      7      6      5      5      10     9      5      8      8      6      
Pavarde236          Vardas236           6      4      3      8      4      2      3      1      7      7      3      1      7      3      3      2      8      
Pavarde237          Vardas237           1      8      7      1      7      3      4      9      5      10     8      2      8      5      3      4      10     
Pavarde238          Vardas238           2      3      4      3      6      5      1      1      1      1      8      3      9      5      1      2      6      
Pavarde239          Vardas239           8      4      3      9      4      10     9      5      2      6      9      9      2      7      4      9      4      
Pavarde240          Vardas240           9      2      1      2      4      9      1      10     10     10     6      2      6      10     7      2      5      
Pavarde241          Vardas241           2      8      9      10     8      9      7      7      10     9      5      8      3      5      3      4      8      
Pavarde242          Vardas242           1      5      6      9      4      2      3      5      7      10     5      9      5      9      4      9      6      
Pavarde243          Vardas243           8      8      3      8      8      5      8      9      8      2      10     4      9      2      3      6      9      
Pavarde244          Vardas244           1      5      7      8      9      1      1      7      3      8      9      2      10     6      2      3      10     
Pavarde245          Vardas245           6      5      8      5      3      1      9      8      9      9      6      4      7      7      1      5      8      
Pavarde246          Vardas246           5      2      8      10     2      6      7      5      4      3      5      9      5      10     2      1      7      
Pavarde247          Vardas247           7      5      5      5      5      2      2      10     9      9      9      4      2      8      3      10     5      
Pavarde248          Vardas248           2      10     10     2      5      5      3      2      6      3      4      6      8      10     5      6      8      
Pavarde249          Vardas249           7      9      1      3      4      6      3      1      5      4      5      4      4      10     4      10     3      
Pavarde250          Vardas250           6      3      9      8      7      1      1      8      4      4      4      3      6      5      8      3      9      
Pavarde251          Vardas251           10     8      2      2      1      5      7      8      2      5      4      6      6      10     8      7      10     
Pavarde252          Vardas252           5      1      7      3      10     5      5      3      2      6      1      8      8      3      6      8      9      
Pavarde253          Vardas253           10     10     1      7      1      6      4      1      8      1      8      6      10     10     2      4      3      
Pavarde254          Vardas254           10     8      7      5      4      3      5      5      7      6      1      10     5      2      3      2      8      
Pavarde255          Vardas255           1      9      6      4      5      9      2      8      1      10     7      1      4      5      4      7      5      
Pavarde256          Vardas256           9      10     8      4      9      1      2      8      4      5      5      10     3      7      8      3      2      
Pavarde257          Vardas257           2      6      1      9      6      10     8      9      10     2      3      3      7      6      10     10     5      
Pavarde258          Vardas258           8      1      8      1      8      9      1      5      2      7      6      5      3      4      8      5      3      
Pavarde259          Vardas259           3      10     2      4      1      2      1      7      2      8      10     8      9      6      9      4      8      
Pavarde260          Vardas260           4      9      10     8      10     10     1      2      2      10     8      7      9      3      10     9      6      
Pavarde261          Vardas261           2      10     6      2      1      1      10     7      6      9      5      8      6      6      2      6      9      
Pavarde262          Vardas262           1      2      8      8      6      4      8      7      8      10     10     9      9      5      3      3      10     
Pavarde263          Vardas263           3      7      4      2      2      4      1      2      9      3      6      7      9      6      4      1      9      
Pavarde264          Vardas264           1      8      8      9      3      6      7      3      10     3      5      6      4      10     4      7      6      
Pavarde265          Vardas265           2      4      4      2      2      3      8      3      2      3      3      7      5      2      6      7      7      
Pavarde266          Vardas266           7      8      1      10     7      8      1      8      2      10     8      2      5      1      6      5      7      
Pavarde267          Vardas267           2      6      9      5      1      3      2      10     7      7      3      7      6      1      2      8      8      
Pavarde268          Vardas268           3      10     7      3      5      8      9      4      2      8      6      1      8      10     1      6      6      
Pavarde269          Vardas269           9      9      4      5      4      10     7      3      7      3      6      4      1      6      6      5      4      
Pavarde270          Vardas270           2      2      7      4      2      5      8      4      1      3      4      10     7      8      4      4      4      
Pavarde271          Vardas271           6      2      9      7      8      9      6      2      9      6      3      10     1      5      4      9      10     
Pavarde272          Vardas272           9      7      4      7      7      8      1      9      5      2      9      1      8      1      7      8      9      
Pavarde273          Vardas273           10     6      8      3      9      7      4      3      6      10     6      3      1      3      3      3      4      
Pavarde274          Vardas274           10     5      1      6      4      3      7      1      7      2      7      5      2      4      5      5      2      
Pavarde275          Vardas275           7      9      7      1      6      9      2      5      2      6      9      3      5      10     8      8      1      
Pavarde276          Vardas276           7      2      3      4      8      7      10     1      9      4      2      10     7      9      10     9      3      
Pavarde277          Vardas277           10     3      6      7      9      7      9      3      9      2      9      5      2      10     7      5      7      
Pavarde278          Vardas278           4      1      2      9      9      1      1      2      6      10     8      9      3      9      9      4      6      
Pavarde279          Vardas279           2      10     10     8      1      8      10     6      6      6      10     3      8      8      8      2      6      
Pavarde280          Vardas280           3      10     5      8      9      9      10     6      7      10     3      9      3      1      4      7      2      
Pavarde281          Vardas281           1      9      8      5      8      10     4      6      6      3      5      10     7      5      4      2      10     
Pavarde282          Vardas282           6      10     4      3      5      7      3      3      1      4      3      1      5      5      4      9      7      
Pavarde283          Vardas283           4      7      4      2      3      2      2      8      9      3      9      6      4      1      10     2      9      
Pavarde284          Vardas284           8      10     8      3      5      5      10     3      8      6      8      5      4      3      8      2      1      
Pavarde285          Vardas285           2      2      8      8      5      3      4      7      7      9      6      3      2      5      1      5      8      
Pavarde286          Vardas286           1      5      4      5      10     4      8      5      10     9      1      8      10     8      1      9      9      
Pavarde287          Vardas287           9      2      10     9      10     2      7      10     5      10     1      10     8      10     1      2      3      
Pavarde288          Vardas288           6      9      7      7      9      5      4      2      3      10     1      1      6      10     1      7      1      
